"File_251217_143205.spc - RawData"
"Wavelength nm.","Abs."
819.00,0.070
820.00,0.069
821.00,0.068
822.00,0.066
823.00,0.065
824.00,0.064
825.00,0.063
826.00,0.062
827.00,0.061
828.00,0.060
829.00,0.059
830.00,0.058
831.00,0.057
832.00,0.056
833.00,0.055
834.00,0.054
835.00,0.053
836.00,0.052
837.00,0.051
838.00,0.049
839.00,0.049
840.00,0.047
841.00,0.046
842.00,0.046
843.00,0.045
844.00,0.044
845.00,0.043
846.00,0.042
847.00,0.041
848.00,0.040
849.00,0.039
850.00,0.038
851.00,0.037
852.00,0.036
853.00,0.035
854.00,0.034
855.00,0.033
856.00,0.032
857.00,0.031
858.00,0.031
859.00,0.030
860.00,0.029
861.00,0.028
862.00,0.027
863.00,0.026
864.00,0.026
865.00,0.025
866.00,0.024
867.00,0.023
868.00,0.022
869.00,0.022
870.00,0.021
871.00,0.020
872.00,0.019
873.00,0.018
874.00,0.018
875.00,0.017
876.00,0.016
877.00,0.015
878.00,0.015
879.00,0.014
880.00,0.013
881.00,0.013
882.00,0.012
883.00,0.011
884.00,0.011
885.00,0.010
886.00,0.009
887.00,0.008
888.00,0.008
889.00,0.007
890.00,0.006
891.00,0.006
892.00,0.005
893.00,0.004
894.00,0.004
895.00,0.003
896.00,0.003
897.00,0.002
898.00,0.001
899.00,0.001
900.00,0.000
