"File_251217_143931.spc - RawData"
"Wavelength nm.","Abs."
819.00,0.071
820.00,0.070
821.00,0.069
822.00,0.068
823.00,0.066
824.00,0.065
825.00,0.064
826.00,0.063
827.00,0.062
828.00,0.061
829.00,0.060
830.00,0.059
831.00,0.058
832.00,0.057
833.00,0.056
834.00,0.055
835.00,0.054
836.00,0.053
837.00,0.052
838.00,0.051
839.00,0.050
840.00,0.049
841.00,0.048
842.00,0.047
843.00,0.046
844.00,0.045
845.00,0.044
846.00,0.043
847.00,0.042
848.00,0.041
849.00,0.040
850.00,0.039
851.00,0.038
852.00,0.037
853.00,0.036
854.00,0.035
855.00,0.034
856.00,0.034
857.00,0.033
858.00,0.032
859.00,0.031
860.00,0.030
861.00,0.029
862.00,0.028
863.00,0.028
864.00,0.027
865.00,0.026
866.00,0.025
867.00,0.024
868.00,0.024
869.00,0.023
870.00,0.022
871.00,0.021
872.00,0.020
873.00,0.020
874.00,0.019
875.00,0.018
876.00,0.018
877.00,0.017
878.00,0.016
879.00,0.015
880.00,0.015
881.00,0.014
882.00,0.013
883.00,0.012
884.00,0.012
885.00,0.011
886.00,0.010
887.00,0.010
888.00,0.009
889.00,0.008
890.00,0.008
891.00,0.007
892.00,0.006
893.00,0.006
894.00,0.005
895.00,0.004
896.00,0.003
897.00,0.003
898.00,0.002
899.00,0.001
900.00,0.001
